Division,District,Upazila,Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Mymensingh,Jamalpur,Melandaha,41.7,65.9,Low,3,6,17.6,10,Partial,67
Mymensingh,Jamalpur,Sarishabari,37.9,51.8,Low,4,4,28.3,36,Partial,64
Mymensingh,Mymensingh,Bhaluka,36.8,54.4,Low,6,8,21.9,122,Partial,125
Mymensingh,Mymensingh,Dhobaura,41.2,53.5,Low,1,0,19.5,0,Limited,41
Mymensingh,Mymensingh,Fulbaria,31.2,58.6,Low,5,8,30.2,36,Partial,56
Mymensingh,Mymensingh,Gaffargaon,36.1,56.5,Low,4,8,28.2,56,Partial,107
Mymensingh,Mymensingh,Gauripur,35.0,42.4,Low,4,5,20.5,46,Partial,60
Mymensingh,Mymensingh,Haluaghat,42.5,64.8,Low,3,0,12.2,22,Limited,76
Mymensingh,Mymensingh,Ishwarganj,32.7,63.9,Low,5,5,18.8,8,Partial,59
Mymensingh,Mymensingh,Mymensingh Sadar,51.4,61.6,High,11,16,41.7,364,Full,143
Mymensingh,Mymensingh,Muktagachha,52.0,61.4,Low,4,7,35.6,48,Partial,69
Mymensingh,Mymensingh,Nandail,33.4,67.3,Low,3,4,21.1,9,Partial,103
Mymensingh,Mymensingh,Phulpur,31.1,53.6,Low,6,4,23.8,61,Partial,101
Mymensingh,Mymensingh,Trishal,36.6,49.4,Low,6,11,28.6,20,Partial,94
Mymensingh,Netrokona,Atpara,30.7,69.2,Low,2,0,21.7,27,Limited,36
Mymensingh,Netrokona,Barhatta,25.5,57.8,Low,2,0,21.6,0,Limited,57
Mymensingh,Netrokona,Durgapur,33.6,51.2,Low,2,0,12.9,0,Limited,43
Mymensingh,Netrokona,Kalmakanda,38.2,69.9,Low,3,0,13.8,15,Limited,47
Mymensingh,Netrokona,Kendua,27.3,51.0,Low,4,0,18.7,12,Limited,84
Mymensingh,Netrokona,Khaliajuri,36.6,42.5,Low,2,0,18.4,14,Limited,40
Mymensingh,Netrokona,Madan,36.9,43.5,Low,2,0,26.8,7,Limited,52
Mymensingh,Netrokona,Mohanganj,29.7,44.2,Low,2,0,19.6,5,Limited,40
Mymensingh,Netrokona,Netrokona Sadar,49.7,69.3,Medium,3,7,30.0,89,Partial,60
Mymensingh,Netrokona,Purbadhala,42.0,66.2,Low,4,0,25.2,40,Limited,68
Mymensingh,Sherpur,Jhenaigati,18.4,54.5,Low,2,0,21.5,6,Limited,30
Mymensingh,Sherpur,Nakla,27.3,61.1,Low,3,2,28.1,26,Partial,64
Mymensingh,Sherpur,Nalitabari,24.4,60.5,Low,3,0,25.7,25,Limited,56
Mymensingh,Sherpur,Sherpur Sadar,38.1,70.3,Medium,6,5,36.3,95,Partial,106
Mymensingh,Sherpur,Sreebardi,27.2,59.0,Low,2,0,15.3,15,Limited,64
Rajshahi,Bogura,Adamdighi,44.0,56.0,Low,2,0,25.3,8,Limited,50
Rajshahi,Bogura,Bogura Sadar,51.1,65.9,Medium,9,17,40.3,253,Full,142
Rajshahi,Bogura,Dhunat,43.2,58.7,Low,3,6,16.6,6,Partial,56
Rajshahi,Bogura,Dupchanchia,42.6,57.2,Low,2,2,25.5,27,Partial,38
Rajshahi,Bogura,Gabtali,43.2,72.5,Low,3,8,25.0,48,Partial,88
Rajshahi,Bogura,Kahaloo,43.6,53.4,Low,2,2,20.8,26,Partial,61
Rajshahi,Bogura,Nandigram,42.3,60.8,Low,2,0,31.8,16,Limited,51
Rajshahi,Bogura,Sariakandi,46.6,61.2,Low,3,0,11.3,0,Limited,71
Rajshahi,Bogura,Shajahanpur,38.9,56.3,Low,2,3,26.7,9,Partial,57
Rajshahi,Bogura,Sherpur,42.6,61.8,Low,4,4,29.3,37,Partial,59
Rajshahi,Bogura,Shibganj,34.8,65.2,Low,4,6,44.2,53,Partial,59
Rajshahi,Bogura,Sonatola,44.4,55.4,Low,2,0,25.7,11,Limited,49
Rajshahi,Chapainawabganj,Bholahat,44.2,61.9,Low,1,0,11.4,15,Limited,26
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,48.9,65.4,Medium,6,6,41.3,26,Partial,141
Rajshahi,Chapainawabganj,Gomastapur,29.3,61.8,Low,4,0,21.4,34,Limited,56
Rajshahi,Chapainawabganj,Nachole,31.6,64.2,Low,3,0,21.0,2,Limited,49
Rajshahi,Chapainawabganj,Shibganj,44.9,67.7,Low,5,0,34.9,29,Limited,65
Rajshahi,Joypurhat,Akkelpur,41.7,46.0,Low,1,1,31.1,20,Partial,35
Rajshahi,Joypurhat,Joypurhat Sadar,50.3,54.9,Medium,3,6,35.5,69,Partial,77
Rajshahi,Joypurhat,Kalai,43.0,52.0,Low,2,4,31.9,15,Partial,49
Rajshahi,Joypurhat,Khetlal,46.4,63.9,Low,2,0,29.4,13,Limited,31
Rajshahi,Joypurhat,Panchbibi,45.2,64.0,Low,2,0,7.1,3,Limited,39
Rajshahi,Naogaon,Atrai,44.4,59.7,Low,2,0,20.1,13,Limited,55
Rajshahi,Naogaon,Badalgachhi,39.5,55.5,Low,2,0,19.5,9,Limited,41
Rajshahi,Naogaon,Dhamoirhat,23.5,56.7,Low,2,0,14.7,8,Limited,34
Rajshahi,Naogaon,Manda,46.4,61.9,Low,3,4,11.7,44,Partial,67
Rajshahi,Naogaon,Mahadebpur,31.6,56.3,Low,3,0,18.2,18,Limited,70
Rajshahi,Naogaon,Naogaon Sadar,44.6,50.3,Medium,6,13,42.1,80,Partial,74
Rajshahi,Naogaon,Niamatpur,43.4,45.4,Low,3,0,21.7,18,Limited,50
Rajshahi,Naogaon,Patnitala,46.2,62.1,Low,2,0,12.9,31,Limited,63
Rajshahi,Naogaon,Porsha,42.8,64.4,Low,2,0,26.1,9,Limited,35
Rajshahi,Naogaon,Raninagar,39.9,62.8,Low,2,0,21.5,16,Limited,47
Rajshahi,Naogaon,Sapahar,31.3,61.7,Low,2,0,19.7,11,Limited,49
Rajshahi,Natore,Bagatipara,55.0,50.7,Low,2,0,28.3,16,Limited,24
Rajshahi,Natore,Baraigram,29.5,62.2,Low,3,0,26.1,27,Limited,85
Rajshahi,Natore,Gurudaspur,48.6,59.3,Low,3,3,33.6,38,Partial,63
Rajshahi,Natore,Lalpur,43.3,57.7,Low,2,0,37.2,20,Limited,51
Rajshahi,Natore,Natore Sadar,34.9,51.6,Medium,5,12,25.1,70,Partial,103
Rajshahi,Natore,Singra,39.6,49.1,Low,3,3,17.4,41,Partial,87
Rajshahi,Pabna,Atgharia,27.2,57.4,Low,2,0,25.6,8,Limited,45
Rajshahi,Pabna,Bera,40.5,66.1,Low,4,4,35.7,3,Partial,81
Rajshahi,Pabna,Bhangura,34.4,53.0,Low,1,0,25.8,7,Limited,47
Rajshahi,Pabna,Chatmohar,39.7,73.6,Low,3,0,38.7,34,Limited,72
Rajshahi,Pabna,Faridpur,39.8,66.1,Low,2,0,22.4,9,Limited,47
Rajshahi,Pabna,Ishwardi,60.8,68.6,Medium,5,6,27.3,76,Full,69
Rajshahi,Pabna,Pabna Sadar,42.0,87.8,Medium,8,9,35.2,17,Full,134
Rajshahi,Pabna,Santhia,40.9,47.7,Low,3,7,16.5,41,Partial,50
Rajshahi,Pabna,Sujanagar,48.7,61.9,Low,3,0,10.7,27,Limited,62
Rajshahi,Rajshahi,Bagha,37.8,67.5,Low,2,5,22.3,13,Partial,39
Rajshahi,Rajshahi,Bagmara,37.0,45.1,Low,4,9,26.0,30,Partial,95
Rajshahi,Rajshahi,Charghat,34.9,61.2,Low,2,2,24.1,27,Partial,43
Rajshahi,Rajshahi,Durgapur,46.2,56.8,Low,3,3,27.7,16,Partial,59
Rajshahi,Rajshahi,Godagari,42.3,51.3,Low,3,4,19.7,2,Partial,67
Rajshahi,Rajshahi,Mohanpur,38.0,57.7,Low,2,2,15.4,29,Partial,39
Rajshahi,Rajshahi,Paba,45.4,68.7,Medium,4,5,31.2,34,Partial,101
Rajshahi,Rajshahi,Putia,33.6,56.2,Low,2,6,24.6,10,Partial,59
Rajshahi,Rajshahi,Rajshahi Sadar,58.2,80.9,High,10,17,49.2,422,Full,216
Rajshahi,Sirajganj,Belkuchi,47.9,67.8,Low,3,5,33.2,74,Partial,49
Rajshahi,Sirajganj,Chauhali,43.0,57.7,Low,3,0,11.4,6,Limited,58
Rajshahi,Sirajganj,Kamarkhand,52.2,59.7,Low,3,6,5.1,37,Partial,46
Rajshahi,Sirajganj,Kazipur,51.7,50.3,Low,3,8,25.4,6,Partial,69
Rajshahi,Sirajganj,Raiganj,36.6,49.8,Low,4,8,19.5,36,Partial,91
Rajshahi,Sirajganj,Shahjadpur,55.2,67.7,Low,7,5,24.4,95,Partial,145
Rajshahi,Sirajganj,Sirajganj Sadar,52.0,64.4,Medium,8,15,48.6,309,Full,96
Rajshahi,Sirajganj,Tarash,49.8,67.0,Low,2,0,12.6,23,Limited,56
Rajshahi,Sirajganj,Ullahpara,45.8,66.2,Low,5,6,16.9,48,Partial,103
Rangpur,Dinajpur,Birampur,46.2,65.1,Low,3,0,27.5,20,Limited,42
Rangpur,Dinajpur,Birganj,35.0,50.6,Low,3,7,7.9,37,Partial,71
Rangpur,Dinajpur,Biral,29.5,60.6,Low,3,0,32.6,12,Limited,74
Rangpur,Dinajpur,Bochaganj,37.5,50.4,Low,2,0,25.3,20,Limited,41
Rangpur,Dinajpur,Chirirbandar,29.3,47.6,Low,3,0,29.8,23,Limited,66
Rangpur,Dinajpur,Dinajpur Sadar,47.4,58.2,Medium,6,10,29.2,121,Full,191
Rangpur,Dinajpur,Fulbari,31.0,56.7,Low,3,0,12.6,0,Limited,39
Rangpur,Dinajpur,Ghoraghat,29.1,51.1,Low,1,0,27.8,11,Limited,27
Rangpur,Dinajpur,Hakimpur,36.2,64.3,Low,1,0,22.4,3,Limited,37
Rangpur,Dinajpur,Kaharole,27.9,64.5,Low,2,0,29.0,12,Limited,40
Rangpur,Dinajpur,Khansama,45.1,53.9,Low,1,0,25.2,3,Limited,42
Rangpur,Dinajpur,Nawabganj,31.8,60.3,Low,2,0,8.7,12,Limited,67
Rangpur,Dinajpur,Parbatipur,37.5,56.9,Low,4,7,28.6,48,Partial,84
Rangpur,Gaibandha,Fulchhari,32.6,60.2,Low,3,0,28.9,5,Limited,62
Rangpur,Gaibandha,Gaibandha Sadar,45.6,49.7,Medium,5,11,32.2,22,Partial,114
Rangpur,Gaibandha,Gobindaganj,46.4,68.8,Low,6,12,32.3,20,Partial,87
Rangpur,Gaibandha,Palashbari,19.4,75.1,Low,3,7,24.2,26,Partial,45
Rangpur,Gaibandha,Sadullapur,31.0,62.8,Low,3,4,22.4,18,Partial,53
Rangpur,Gaibandha,Saghata,35.7,62.1,Low,2,0,17.2,19,Limited,68
Rangpur,Gaibandha,Sundarganj,23.5,60.3,Low,4,8,22.0,9,Partial,99
Rangpur,Kurigram,Bhurungamari,43.4,43.2,Low,3,0,21.3,12,Limited,83
Rangpur,Kurigram,Char Rajibpur,26.0,58.8,Low,1,0,20.6,12,Limited,19
Rangpur,Kurigram,Chilmari,46.4,59.9,Low,1,0,14.5,4,Limited,48
Rangpur,Kurigram,Kurigram Sadar,28.3,53.1,Medium,5,12,46.1,83,Partial,111
Rangpur,Kurigram,Nageshwari,27.5,57.1,Low,7,11,9.4,57,Partial,125
Rangpur,Kurigram,Phulbari,43.3,55.4,Low,2,0,26.5,24,Limited,46
Rangpur,Kurigram,Rajarhat,43.0,63.1,Low,3,0,20.1,12,Limited,71
Rangpur,Kurigram,Raumari,29.4,68.4,Low,3,0,20.1,0,Limited,47
Rangpur,Kurigram,Ulipur,33.1,56.2,Low,4,6,16.6,32,Partial,85
Rangpur,Lalmonirhat,Aditmari,26.3,48.5,Low,2,0,29.1,16,Limited,44
Rangpur,Lalmonirhat,Hatibandha,27.6,76.2,Low,4,0,21.9,33,Limited,52
Rangpur,Lalmonirhat,Kaliganj,30.2,62.7,Low,3,0,25.8,12,Limited,45
Rangpur,Lalmonirhat,Lalmonirhat Sadar,37.3,48.3,Medium,5,6,31.3,91,Partial,89
Rangpur,Lalmonirhat,Patgram,26.7,50.2,Low,3,0,18.0,17,Limited,96
Rangpur,Nilphamari,Dimla,26.1,41.2,Low,3,0,20.6,38,Limited,74
Rangpur,Nilphamari,Domar,23.6,70.5,Low,3,6,22.2,27,Partial,64
Rangpur,Nilphamari,Jaldhaka,33.8,69.6,Low,3,0,10.3,15,Limited,43
Rangpur,Nilphamari,Kishoreganj,29.9,59.2,Low,2,0,25.9,22,Limited,43
Rangpur,Nilphamari,Nilphamari Sadar,48.6,55.4,Medium,5,10,28.4,61,Partial,127
Rangpur,Nilphamari,Saidpur,55.3,57.1,High,4,11,56.9,51,Full,99
Rangpur,Panchagarh,Atwari,28.3,58.8,Low,1,0,31.5,10,Limited,44
Rangpur,Panchagarh,Boda,20.3,57.5,Low,3,0,27.4,28,Limited,43
Rangpur,Panchagarh,Debiganj,32.3,55.3,Low,2,0,7.3,11,Limited,63
Rangpur,Panchagarh,Panchagarh Sadar,22.7,54.9,Low,4,6,40.7,45,Partial,88
Rangpur,Panchagarh,Tetulia,37.7,54.3,Low,2,0,16.2,1,Limited,37
Rangpur,Rangpur,Badarganj,31.3,72.2,Low,3,5,18.4,1,Partial,48
Rangpur,Rangpur,Gangachara,24.1,56.6,Low,3,0,27.0,19,Limited,71
Rangpur,Rangpur,Kaunia,32.1,64.9,Low,2,0,27.2,27,Limited,38
Rangpur,Rangpur,Mithapukur,32.5,51.5,Low,6,10,20.5,72,Partial,125
Rangpur,Rangpur,Pirgachha,29.6,67.4,Low,4,4,26.9,34,Partial,66
Rangpur,Rangpur,Pirganj,28.3,60.6,Low,4,7,15.7,50,Partial,63
Rangpur,Rangpur,Rangpur Sadar,49.1,75.3,High,10,9,42.9,324,Full,121
Rangpur,Rangpur,Taraganj,38.1,58.4,Low,2,0,5.0,19,Limited,48
Rangpur,Thakurgaon,Baliadangi,29.1,51.5,Low,2,0,20.5,21,Limited,41
Rangpur,Thakurgaon,Haripur,32.7,71.9,Low,2,0,14.4,7,Limited,56
Rangpur,Thakurgaon,Pirganj,32.3,63.1,Low,4,0,35.5,28,Limited,85
Rangpur,Thakurgaon,Ranisankail,30.0,60.7,Low,4,0,18.5,37,Limited,86
Rangpur,Thakurgaon,Thakurgaon Sadar,34.0,67.4,Medium,6,5,37.1,58,Partial,73
Sylhet,Habiganj,Ajmiriganj,48.7,62.2,Low,1,0,24.1,19,Limited,29
Sylhet,Habiganj,Bahubal,47.9,59.4,Low,2,0,30.2,22,Limited,38
Sylhet,Habiganj,Baniachong,39.9,72.4,Low,3,5,10.0,49,Partial,99
Sylhet,Habiganj,Chunarughat,46.4,66.4,Low,3,0,16.8,1,Limited,67
Sylhet,Habiganj,Habiganj Sadar,54.6,55.3,Medium,4,8,17.6,22,Partial,91
Sylhet,Habiganj,Lakhai,44.0,66.4,Low,2,0,27.4,7,Limited,39
Sylhet,Habiganj,Madhabpur,37.8,70.1,Low,3,3,27.5,36,Partial,55
Sylhet,Habiganj,Nabiganj,41.9,51.5,Low,4,4,15.7,41,Partial,61
Sylhet,Moulvibazar,Barlekha,42.6,65.0,Low,3,0,22.3,24,Limited,34
Sylhet,Moulvibazar,Juri,49.8,68.4,Low,1,0,33.6,2,Limited,34
Sylhet,Moulvibazar,Kamalganj,52.2,63.5,Low,2,0,10.8,7,Limited,56
Sylhet,Moulvibazar,Kulaura,51.6,44.2,Low,4,3,26.3,46,Partial,62
Sylhet,Moulvibazar,Moulvibazar Sadar,55.9,67.1,Medium,4,6,31.3,130,Partial,75
Sylhet,Moulvibazar,Rajnagar,38.9,54.0,Low,2,0,21.9,6,Limited,34
Sylhet,Moulvibazar,Sreemangal,47.2,58.9,Low,2,5,24.9,6,Partial,50
Sylhet,Sunamganj,Bishwamvarpur,46.6,51.0,Low,2,0,28.7,5,Limited,25
Sylhet,Sunamganj,Chhatak,54.5,70.4,Low,4,8,31.3,2,Partial,70
Sylhet,Sunamganj,Derai,42.5,55.1,Low,2,0,26.2,5,Limited,40
Sylhet,Sunamganj,Dharampasha,56.8,59.2,Low,2,0,5.0,1,Limited,53
Sylhet,Sunamganj,Dowarabazar,38.5,62.5,Low,1,0,18.2,15,Limited,40
Sylhet,Sunamganj,Jamalganj,42.5,46.8,Low,1,0,20.8,14,Limited,26
Sylhet,Sunamganj,Jagannathpur,44.4,73.4,Low,2,0,23.6,26,Limited,68
Sylhet,Sunamganj,Sulla,50.3,60.4,Low,2,0,16.8,9,Limited,42
Sylhet,Sunamganj,Sunamganj Sadar,54.0,66.5,Medium,4,8,38.0,114,Partial,77
Sylhet,Sunamganj,Tahirpur,47.8,48.8,Low,2,0,21.3,10,Limited,51
Sylhet,Sylhet,Balaganj,54.3,50.8,Low,3,6,23.4,42,Partial,57
Sylhet,Sylhet,Beani Bazar,60.9,58.1,Low,3,4,31.6,15,Partial,57
Sylhet,Sylhet,Bishwanath,47.0,56.2,Low,3,4,16.2,43,Partial,85
Sylhet,Sylhet,Companiganj,38.4,43.2,Low,2,0,19.3,18,Limited,50
Sylhet,Sylhet,Dakshin Surma,50.5,54.9,Low,3,7,30.1,38,Partial,59
Sylhet,Sylhet,Fenchuganj,49.3,61.8,Low,2,3,14.6,21,Partial,48
Sylhet,Sylhet,Golapganj,43.8,41.9,Low,4,8,12.5,37,Partial,75
Sylhet,Sylhet,Gowainghat,35.0,65.5,Low,2,0,20.6,13,Limited,51
Sylhet,Sylhet,Jaintiapur,40.4,59.4,Low,2,0,30.2,2,Limited,38
Sylhet,Sylhet,Kanaighat,39.9,53.1,Low,3,0,12.7,8,Limited,40
Sylhet,Sylhet,Osmani Nagar,57.2,69.5,Low,3,7,31.0,0,Partial,48
Sylhet,Sylhet,Sylhet Sadar,66.7,80.6,High,12,10,46.8,64,Full,202
Sylhet,Sylhet,Zakiganj,45.2,52.4,Low,3,0,14.9,5,Limited,65
