Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity
Rajshahi,Chapainawabganj,Nachole,258.37,198000,766,14,Agriculture
Rajshahi,Chapainawabganj,Shibganj,560.5,368000,657,15,"Agriculture (Mango), Silk"
Rajshahi,Joypurhat,Akkelpur,154.67,148000,957,18,"Agriculture, Industry"
Rajshahi,Joypurhat,Joypurhat Sadar,377.68,298000,789,35,"Trade, Agriculture"
Rajshahi,Joypurhat,Kalai,212.97,198000,930,16,Agriculture
Rajshahi,Joypurhat,Khetlal,162.45,148000,911,15,Agriculture
Rajshahi,Joypurhat,Panchbibi,249.22,198000,795,14,Agriculture
Rajshahi,Naogaon,Atrai,348.49,248000,712,14,Agriculture
Rajshahi,Naogaon,Badalgachhi,265.12,198000,747,13,Agriculture
Rajshahi,Naogaon,Dhamoirhat,293.51,198000,675,13,Agriculture
Rajshahi,Naogaon,Manda,312.81,298000,953,16,Agriculture
Rajshahi,Naogaon,Mahadebpur,397.52,298000,750,14,Agriculture
Rajshahi,Naogaon,Naogaon Sadar,444.54,448000,1008,38,"Trade, Agriculture"
Rajshahi,Naogaon,Niamatpur,364.27,248000,681,13,Agriculture
Rajshahi,Naogaon,Patnitala,310.23,248000,799,14,Agriculture
Rajshahi,Naogaon,Porsha,283.45,198000,699,13,Agriculture
Rajshahi,Naogaon,Raninagar,214.32,178000,831,14,Agriculture
Rajshahi,Naogaon,Sapahar,353.3,198000,561,13,Agriculture
Rajshahi,Natore,Bagatipara,175.57,148000,843,14,Agriculture
Rajshahi,Natore,Baraigram,365.74,298000,815,15,Agriculture
Rajshahi,Natore,Gurudaspur,252.24,248000,984,18,"Agriculture, Sugarcane"
Rajshahi,Natore,Lalpur,276.27,248000,898,15,Agriculture
Rajshahi,Natore,Natore Sadar,400.16,448000,1120,38,"Trade, Agriculture"
Rajshahi,Natore,Singra,383.9,348000,907,16,Agriculture
Rajshahi,Pabna,Atgharia,188.48,168000,892,14,Agriculture
Rajshahi,Pabna,Bera,358.22,298000,832,16,Agriculture
Rajshahi,Pabna,Bhangura,186.81,168000,899,15,Agriculture
Rajshahi,Pabna,Chatmohar,296.57,248000,837,15,Agriculture
Rajshahi,Pabna,Faridpur,237.83,198000,832,14,Agriculture
Rajshahi,Pabna,Ishwardi,265.36,348000,1312,42,"Industry, Agriculture"
Rajshahi,Pabna,Pabna Sadar,407.74,548000,1344,48,"Trade, Services, Industry"
Rajshahi,Pabna,Santhia,323.22,298000,922,16,Agriculture
Rajshahi,Pabna,Sujanagar,265.7,248000,934,15,Agriculture
Rajshahi,Rajshahi,Bagha,262.41,198000,755,16,Agriculture (Mango)
Rajshahi,Rajshahi,Bagmara,427.62,348000,814,18,Agriculture
Rajshahi,Rajshahi,Charghat,194.78,198000,1017,20,"Agriculture, Industry"
Rajshahi,Rajshahi,Durgapur,289.33,248000,857,16,Agriculture
Rajshahi,Rajshahi,Godagari,684.72,298000,435,16,"Agriculture, Silk"
Rajshahi,Rajshahi,Mohanpur,188.42,198000,1051,18,Agriculture
Rajshahi,Rajshahi,Paba,266.12,348000,1308,38,"Agriculture, Industry"
Rajshahi,Rajshahi,Putia,232.25,218000,939,16,Agriculture
Rajshahi,Rajshahi,Rajshahi Sadar,96.67,758000,7844,88,"Trade, Services, Industry"
Rajshahi,Sirajganj,Belkuchi,144.83,298000,2058,28,"Handloom, Agriculture"
Rajshahi,Sirajganj,Chauhali,238.2,198000,831,14,"Agriculture, Fishing"
Rajshahi,Sirajganj,Kamarkhand,162.52,248000,1527,22,"Agriculture, Handloom"
Rajshahi,Sirajganj,Kazipur,346.8,298000,860,16,Agriculture
Rajshahi,Sirajganj,Raiganj,348.88,348000,998,18,Agriculture
Rajshahi,Sirajganj,Shahjadpur,430.95,548000,1272,28,"Handloom, Agriculture"
Rajshahi,Sirajganj,Sirajganj Sadar,335.59,568000,1693,55,"Trade, Handloom, Services"
Rajshahi,Sirajganj,Tarash,272.09,198000,728,14,Agriculture
Rajshahi,Sirajganj,Ullahpara,349.66,348000,996,18,"Agriculture, Handloom"
Rangpur,Dinajpur,Birampur,272.25,198000,728,14,Agriculture
Rangpur,Dinajpur,Birganj,362.85,298000,821,16,Agriculture
Rangpur,Dinajpur,Biral,283.96,248000,874,15,Agriculture
Rangpur,Dinajpur,Bochaganj,262.32,218000,832,14,Agriculture
Rangpur,Dinajpur,Chirirbandar,280.51,248000,884,15,Agriculture
Rangpur,Dinajpur,Dinajpur Sadar,413.62,648000,1567,52,"Trade, Services, Industry"
Rangpur,Dinajpur,Fulbari,221.63,198000,894,15,"Agriculture, Coal"
Rangpur,Dinajpur,Ghoraghat,208.55,148000,710,13,Agriculture
Rangpur,Dinajpur,Hakimpur,128.96,128000,993,14,Agriculture
Rangpur,Dinajpur,Kaharole,238.44,198000,831,14,Agriculture
Rangpur,Dinajpur,Khansama,198.32,178000,898,14,Agriculture
Rangpur,Dinajpur,Nawabganj,337.36,248000,736,15,Agriculture
Rangpur,Dinajpur,Parbatipur,348.3,298000,856,22,"Agriculture, Railway"
Rangpur,Gaibandha,Fulchhari,324.2,218000,672,13,Agriculture
Rangpur,Gaibandha,Gaibandha Sadar,387.42,468000,1208,38,"Trade, Agriculture"
Rangpur,Gaibandha,Gobindaganj,491.94,498000,1012,20,"Agriculture, Industry"
Rangpur,Gaibandha,Palashbari,238.44,248000,1040,16,Agriculture
Rangpur,Gaibandha,Sadullapur,311.04,298000,958,16,Agriculture
Rangpur,Gaibandha,Saghata,368.26,248000,674,13,Agriculture
Rangpur,Gaibandha,Sundarganj,491.34,398000,810,16,Agriculture
Rangpur,Kurigram,Bhurungamari,386.64,298000,771,14,Agriculture
Rangpur,Kurigram,Char Rajibpur,213.96,118000,552,11,Agriculture
Rangpur,Kurigram,Chilmari,241.8,178000,736,13,"Agriculture, Fishing"
Rangpur,Kurigram,Kurigram Sadar,335.94,448000,1334,35,"Trade, Agriculture"
Rangpur,Kurigram,Nageshwari,476.04,448000,941,16,Agriculture
Rangpur,Kurigram,Phulbari,238.05,218000,916,14,Agriculture
Rangpur,Kurigram,Rajarhat,280.43,248000,884,14,Agriculture
Rangpur,Kurigram,Raumari,350.15,248000,709,13,Agriculture
Rangpur,Kurigram,Ulipur,519.97,448000,862,16,Agriculture
Rangpur,Lalmonirhat,Aditmari,199.31,198000,994,14,Agriculture
Rangpur,Lalmonirhat,Hatibandha,352.38,298000,846,14,Agriculture
Rangpur,Lalmonirhat,Kaliganj,260.18,248000,954,15,Agriculture
Rangpur,Lalmonirhat,Lalmonirhat Sadar,314.28,348000,1107,32,"Trade, Agriculture"
Rangpur,Lalmonirhat,Patgram,515.16,348000,676,14,Agriculture
Rangpur,Nilphamari,Dimla,327.08,298000,911,15,Agriculture
Rangpur,Nilphamari,Domar,256.47,248000,968,16,Agriculture
Rangpur,Nilphamari,Jaldhaka,279.48,248000,888,15,Agriculture
Rangpur,Nilphamari,Kishoreganj,242.36,218000,900,14,Agriculture
Rangpur,Nilphamari,Nilphamari Sadar,387.79,448000,1155,38,"Trade, Agriculture"
Rangpur,Nilphamari,Saidpur,133.17,398000,2989,68,"Industry, Trade"
Rangpur,Panchagarh,Atwari,266.6,168000,630,12,"Agriculture, Tea"
Rangpur,Panchagarh,Boda,370.91,248000,669,13,Agriculture
Rangpur,Panchagarh,Debiganj,395.81,248000,627,12,"Agriculture, Tea"
Rangpur,Panchagarh,Panchagarh Sadar,428.48,298000,695,28,"Trade, Agriculture, Tea"
Rangpur,Panchagarh,Tetulia,330.43,178000,539,12,"Agriculture, Tea, Stone"
Rangpur,Rangpur,Badarganj,258.44,248000,960,16,Agriculture
Rangpur,Rangpur,Gangachara,386.21,298000,772,14,Agriculture
Rangpur,Rangpur,Kaunia,204.96,198000,966,15,Agriculture
Rangpur,Rangpur,Mithapukur,450.17,458000,1018,18,Agriculture
Rangpur,Rangpur,Pirgachha,291.11,298000,1024,16,Agriculture
Rangpur,Rangpur,Pirganj,449.23,398000,886,16,Agriculture
Rangpur,Rangpur,Rangpur Sadar,225.54,658000,2917,62,"Trade, Services, Industry"
Rangpur,Rangpur,Taraganj,197.47,198000,1003,15,Agriculture
Rangpur,Thakurgaon,Baliadangi,337.26,248000,736,13,Agriculture
Rangpur,Thakurgaon,Haripur,275.82,198000,718,13,Agriculture
Rangpur,Thakurgaon,Pirganj,430.02,298000,693,14,Agriculture
Rangpur,Thakurgaon,Ranisankail,389.15,298000,766,14,Agriculture
Rangpur,Thakurgaon,Thakurgaon Sadar,450.08,448000,996,38,"Trade, Agriculture"
Sylhet,Habiganj,Ajmiriganj,189.93,148000,779,14,"Agriculture, Fishing"
Sylhet,Habiganj,Bahubal,264.33,198000,749,15,"Tea, Agriculture"
Sylhet,Habiganj,Baniachong,482.88,368000,762,16,"Agriculture, Fishing"
Sylhet,Habiganj,Chunarughat,419.06,248000,592,14,"Tea, Agriculture"
Sylhet,Habiganj,Habiganj Sadar,454.29,448000,987,38,"Trade, Tea, Services"
Sylhet,Habiganj,Lakhai,209.35,168000,803,13,Agriculture
Sylhet,Habiganj,Madhabpur,319.47,248000,777,16,"Tea, Agriculture"
Sylhet,Habiganj,Nabiganj,456.63,298000,653,16,"Agriculture, Tea"
Sylhet,Moulvibazar,Barlekha,418.04,198000,474,13,"Tea, Agriculture"
Sylhet,Moulvibazar,Juri,260.83,148000,567,12,"Tea, Agriculture"
Sylhet,Moulvibazar,Kamalganj,365.04,198000,542,14,"Tea, Agriculture"
Sylhet,Moulvibazar,Kulaura,469.76,298000,635,16,"Tea, Agriculture"
Sylhet,Moulvibazar,Moulvibazar Sadar,424.05,348000,821,38,"Trade, Tea, Services"
Sylhet,Moulvibazar,Rajnagar,275.63,148000,537,12,"Tea, Agriculture"
Sylhet,Moulvibazar,Sreemangal,430.44,198000,460,22,"Tea, Tourism"
Sylhet,Sunamganj,Bishwamvarpur,195.41,148000,757,13,"Agriculture, Fishing"
Sylhet,Sunamganj,Chhatak,274.79,298000,1085,28,"Cement Industry, Agriculture"
Sylhet,Sunamganj,Derai,368.31,218000,592,12,"Agriculture, Fishing"
Sylhet,Sunamganj,Dharampasha,457.62,198000,433,11,"Agriculture, Fishing"
Sylhet,Sunamganj,Dowarabazar,303.63,148000,488,11,Agriculture
Sylhet,Sunamganj,Jamalganj,269.83,148000,549,11,"Agriculture, Fishing"
Sylhet,Sunamganj,Jagannathpur,345.27,248000,719,14,Agriculture
Sylhet,Sunamganj,Sulla,386.79,148000,383,10,"Agriculture, Fishing"
Sylhet,Sunamganj,Sunamganj Sadar,382.83,348000,909,38,"Trade, Fishing, Services"
Sylhet,Sunamganj,Tahirpur,290.43,178000,613,12,"Agriculture, Fishing"
Sylhet,Sylhet,Balaganj,285.81,298000,1043,18,Agriculture
Sylhet,Sylhet,Beani Bazar,244.46,298000,1219,20,"Agriculture, Remittance"
Sylhet,Sylhet,Bishwanath,252.58,298000,1180,20,"Agriculture, Remittance"
Sylhet,Sylhet,Companiganj,268.5,198000,738,13,"Agriculture, Stone"
Sylhet,Sylhet,Dakshin Surma,194.54,298000,1533,28,"Industry, Agriculture"
Sylhet,Sylhet,Fenchuganj,137.45,168000,1222,25,"Gas Industry, Agriculture"
Sylhet,Sylhet,Golapganj,334.61,298000,891,16,Agriculture
Sylhet,Sylhet,Gowainghat,561.73,198000,352,12,"Agriculture, Stone"
Sylhet,Sylhet,Jaintiapur,479.52,198000,413,14,"Stone, Agriculture"
Sylhet,Sylhet,Kanaighat,415.51,248000,597,14,Agriculture
Sylhet,Sylhet,Osmani Nagar,194.19,298000,1535,30,"Industry, Trade"
Sylhet,Sylhet,Sylhet Sadar,260.81,858000,3290,72,"Trade, Services, Remittance"
Sylhet,Sylhet,Zakiganj,294.41,248000,843,15,Agriculture
