Division,District,Upazila,Flood Risk,Cyclone Risk,Drought Risk,Riverbank Erosion,Climate Vulnerability,Disaster Mgmt (UDMCs),Cyclone Shelters
Rajshahi,Bogura,Bogura Sadar,Low,Low,High,Low,Medium,UDMCs,47
Rajshahi,Bogura,Dhunat,Low,Low,High,Low,Medium,Partial,10
Rajshahi,Bogura,Dupchanchia,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Bogura,Gabtali,Low,Low,High,Medium,Medium,Partial,15
Rajshahi,Bogura,Kahaloo,Low,Low,High,Low,Medium,UDMCs,11
Rajshahi,Bogura,Nandigram,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Bogura,Sariakandi,Low,Low,High,Medium,Medium,UDMCs,9
Rajshahi,Bogura,Shajahanpur,Low,Low,High,Medium,Medium,Partial,7
Rajshahi,Bogura,Sherpur,Low,Low,High,Medium,Medium,UDMCs,22
Rajshahi,Bogura,Shibganj,Low,Low,High,Medium,Medium,UDMCs,13
Rajshahi,Bogura,Sonatola,Low,Low,High,Medium,Medium,UDMCs,10
Rajshahi,Chapainawabganj,Bholahat,Low,Low,High,Medium,Medium,UDMCs,4
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Low,Low,High,Medium,Medium,UDMCs,15
Rajshahi,Chapainawabganj,Gomastapur,Low,Low,High,Low,Medium,UDMCs,17
Rajshahi,Chapainawabganj,Nachole,Low,Low,High,Low,Medium,UDMCs,9
Rajshahi,Chapainawabganj,Shibganj,Low,Low,High,Medium,Medium,UDMCs,10
Rajshahi,Joypurhat,Akkelpur,Low,Low,High,Low,Medium,UDMCs,10
Rajshahi,Joypurhat,Joypurhat Sadar,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Joypurhat,Kalai,Low,Low,High,Medium,Medium,UDMCs,10
Rajshahi,Joypurhat,Khetlal,Low,Low,High,Medium,Medium,UDMCs,6
Rajshahi,Joypurhat,Panchbibi,Low,Low,High,Medium,Medium,UDMCs,13
Rajshahi,Naogaon,Atrai,Low,Low,High,Medium,Medium,UDMCs,14
Rajshahi,Naogaon,Badalgachhi,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Naogaon,Dhamoirhat,Low,Low,High,Medium,Medium,UDMCs,5
Rajshahi,Naogaon,Manda,Low,Low,High,Medium,Medium,Partial,19
Rajshahi,Naogaon,Mahadebpur,Low,Low,High,Medium,Medium,UDMCs,15
Rajshahi,Naogaon,Naogaon Sadar,Low,Low,High,Low,Medium,UDMCs,17
Rajshahi,Naogaon,Niamatpur,Low,Low,High,Medium,Medium,UDMCs,13
Rajshahi,Naogaon,Patnitala,Low,Low,High,Medium,Medium,UDMCs,18
Rajshahi,Naogaon,Porsha,Low,Low,High,Medium,Medium,Partial,13
Rajshahi,Naogaon,Raninagar,Low,Low,High,Medium,Medium,Partial,11
Rajshahi,Naogaon,Sapahar,Low,Low,High,Medium,Medium,UDMCs,10
Rajshahi,Natore,Bagatipara,Low,Low,High,Medium,Medium,Partial,8
Rajshahi,Natore,Baraigram,Low,Low,High,Low,Medium,UDMCs,9
Rajshahi,Natore,Gurudaspur,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Natore,Lalpur,Low,Low,High,Medium,Medium,UDMCs,8
Rajshahi,Natore,Natore Sadar,Low,Low,High,Low,Medium,UDMCs,33
Rajshahi,Natore,Singra,Low,Low,High,Low,Medium,UDMCs,14
Rajshahi,Pabna,Atgharia,Low,Low,High,Medium,Medium,UDMCs,9
Rajshahi,Pabna,Bera,Low,Low,High,Medium,Medium,UDMCs,17
Rajshahi,Pabna,Bhangura,Low,Low,High,Medium,Medium,Partial,11
Rajshahi,Pabna,Chatmohar,Low,Low,High,Low,Medium,Partial,10
Rajshahi,Pabna,Faridpur,Low,Low,High,Low,Medium,UDMCs,14
Rajshahi,Pabna,Ishwardi,Low,Low,High,Medium,Medium,UDMCs,16
Rajshahi,Pabna,Pabna Sadar,Low,Low,High,Low,Medium,UDMCs,35
Rajshahi,Pabna,Santhia,Low,Low,High,Low,Medium,UDMCs,15
Rajshahi,Pabna,Sujanagar,Low,Low,High,Low,Medium,UDMCs,7
Rajshahi,Rajshahi,Bagha,Low,Low,High,Medium,Medium,UDMCs,8
Rajshahi,Rajshahi,Bagmara,Low,Low,High,Medium,Medium,UDMCs,12
Rajshahi,Rajshahi,Charghat,Low,Low,High,Medium,Medium,UDMCs,5
Rajshahi,Rajshahi,Durgapur,Low,Low,High,Medium,Medium,UDMCs,15
Rajshahi,Rajshahi,Godagari,Low,Low,High,Medium,Medium,UDMCs,12
Rajshahi,Rajshahi,Mohanpur,Low,Low,High,Medium,Medium,Partial,13
Rajshahi,Rajshahi,Paba,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Rajshahi,Putia,Low,Low,High,Medium,Medium,UDMCs,14
Rajshahi,Rajshahi,Rajshahi Sadar,Low,Low,High,Low,Medium,UDMCs,51
Rajshahi,Sirajganj,Belkuchi,Low,Low,High,Medium,Medium,Partial,18
Rajshahi,Sirajganj,Chauhali,Low,Low,High,Low,Medium,UDMCs,10
Rajshahi,Sirajganj,Kamarkhand,Low,Low,High,Medium,Medium,UDMCs,11
Rajshahi,Sirajganj,Kazipur,Low,Low,High,Medium,Medium,Partial,22
Rajshahi,Sirajganj,Raiganj,Low,Low,High,Low,Medium,Partial,10
Rajshahi,Sirajganj,Shahjadpur,Low,Low,High,Low,Medium,UDMCs,36
Rajshahi,Sirajganj,Sirajganj Sadar,Low,Low,High,Medium,Medium,Partial,41
Rajshahi,Sirajganj,Tarash,Low,Low,High,Low,Medium,Partial,11
Rajshahi,Sirajganj,Ullahpara,Low,Low,High,Low,Medium,UDMCs,9
Rangpur,Dinajpur,Birampur,Medium,Low,High,High,Medium,UDMCs,5
Rangpur,Dinajpur,Birganj,Medium,Low,High,High,Medium,UDMCs,10
Rangpur,Dinajpur,Biral,Medium,Low,High,High,Medium,UDMCs,8
Rangpur,Dinajpur,Bochaganj,Medium,Low,High,High,Medium,UDMCs,10
Rangpur,Dinajpur,Chirirbandar,Medium,Low,High,High,Medium,UDMCs,7
Rangpur,Dinajpur,Dinajpur Sadar,Medium,Low,High,High,Medium,UDMCs,23
Rangpur,Dinajpur,Fulbari,Medium,Low,High,High,Medium,Partial,5
Rangpur,Dinajpur,Ghoraghat,Medium,Low,High,High,Medium,UDMCs,6
Rangpur,Dinajpur,Hakimpur,Medium,Low,High,High,Medium,Partial,4
Rangpur,Dinajpur,Kaharole,Medium,Low,High,High,Medium,UDMCs,9
Rangpur,Dinajpur,Khansama,Medium,Low,High,High,Medium,Partial,8
Rangpur,Dinajpur,Nawabganj,Medium,Low,High,High,Medium,UDMCs,14
Rangpur,Dinajpur,Parbatipur,Medium,Low,High,High,Medium,UDMCs,12
Rangpur,Gaibandha,Fulchhari,Medium,Low,High,High,Medium,UDMCs,6
Rangpur,Gaibandha,Gaibandha Sadar,Medium,Low,High,High,Medium,UDMCs,28
Rangpur,Gaibandha,Gobindaganj,Medium,Low,High,High,Medium,UDMCs,35
Rangpur,Gaibandha,Palashbari,Medium,Low,High,High,Medium,UDMCs,18
Rangpur,Gaibandha,Sadullapur,Medium,Low,High,High,Medium,UDMCs,21
Rangpur,Gaibandha,Saghata,Medium,Low,High,High,Medium,Partial,15
Rangpur,Gaibandha,Sundarganj,Medium,Low,High,High,Medium,Partial,28
Rangpur,Kurigram,Bhurungamari,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Kurigram,Char Rajibpur,Medium,Low,High,High,Medium,UDMCs,4
Rangpur,Kurigram,Chilmari,Medium,Low,High,High,Medium,UDMCs,5
Rangpur,Kurigram,Kurigram Sadar,Medium,Low,High,High,Medium,Partial,32
Rangpur,Kurigram,Nageshwari,Medium,Low,High,High,Medium,UDMCs,32
Rangpur,Kurigram,Phulbari,Medium,Low,High,High,Medium,Partial,15
Rangpur,Kurigram,Rajarhat,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Kurigram,Raumari,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Kurigram,Ulipur,Medium,Low,High,High,Medium,Partial,33
Rangpur,Lalmonirhat,Aditmari,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Lalmonirhat,Hatibandha,Medium,Low,High,High,Medium,Partial,9
Rangpur,Lalmonirhat,Kaliganj,Medium,Low,High,High,Medium,UDMCs,8
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Medium,Low,High,High,Medium,UDMCs,23
Rangpur,Lalmonirhat,Patgram,Medium,Low,High,High,Medium,UDMCs,14
Rangpur,Nilphamari,Dimla,Medium,Low,High,High,Medium,UDMCs,15
Rangpur,Nilphamari,Domar,Medium,Low,High,High,Medium,UDMCs,10
Rangpur,Nilphamari,Jaldhaka,Medium,Low,High,High,Medium,Partial,11
Rangpur,Nilphamari,Kishoreganj,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Nilphamari,Nilphamari Sadar,Medium,Low,High,High,Medium,UDMCs,24
Rangpur,Nilphamari,Saidpur,Medium,Low,High,High,Medium,UDMCs,13
Rangpur,Panchagarh,Atwari,Medium,Low,High,High,Medium,UDMCs,4
Rangpur,Panchagarh,Boda,Medium,Low,High,High,Medium,UDMCs,9
Rangpur,Panchagarh,Debiganj,Medium,Low,High,High,Medium,Partial,16
Rangpur,Panchagarh,Panchagarh Sadar,Medium,Low,High,High,Medium,UDMCs,11
Rangpur,Panchagarh,Tetulia,Medium,Low,High,High,Medium,Partial,8
Rangpur,Rangpur,Badarganj,Medium,Low,High,High,Medium,UDMCs,16
Rangpur,Rangpur,Gangachara,Medium,Low,High,High,Medium,UDMCs,15
Rangpur,Rangpur,Kaunia,Medium,Low,High,High,Medium,UDMCs,13
Rangpur,Rangpur,Mithapukur,Medium,Low,High,High,Medium,UDMCs,22
Rangpur,Rangpur,Pirgachha,Medium,Low,High,High,Medium,UDMCs,21
Rangpur,Rangpur,Pirganj,Medium,Low,High,High,Medium,Partial,26
Rangpur,Rangpur,Rangpur Sadar,Medium,Low,High,High,Medium,UDMCs,45
Rangpur,Rangpur,Taraganj,Medium,Low,High,High,Medium,UDMCs,10
Rangpur,Thakurgaon,Baliadangi,Medium,Low,High,High,Medium,UDMCs,7
Rangpur,Thakurgaon,Haripur,Medium,Low,High,High,Medium,Partial,10
Rangpur,Thakurgaon,Pirganj,Medium,Low,High,High,Medium,UDMCs,10
Rangpur,Thakurgaon,Ranisankail,Medium,Low,High,High,Medium,UDMCs,18
Rangpur,Thakurgaon,Thakurgaon Sadar,Medium,Low,High,High,Medium,UDMCs,27
Sylhet,Habiganj,Ajmiriganj,High,Low,Low,Medium,High,Partial,6
Sylhet,Habiganj,Bahubal,High,Low,Low,Medium,High,UDMCs,10
Sylhet,Habiganj,Baniachong,High,Low,Low,Medium,High,UDMCs,12
Sylhet,Habiganj,Chunarughat,High,Low,Low,Medium,High,UDMCs,6
Sylhet,Habiganj,Habiganj Sadar,High,Low,Low,Low,High,UDMCs,32
Sylhet,Habiganj,Lakhai,High,Low,Low,Low,High,UDMCs,9
Sylhet,Habiganj,Madhabpur,High,Low,Low,Medium,High,UDMCs,14
Sylhet,Habiganj,Nabiganj,High,Low,Low,Medium,High,UDMCs,17
Sylhet,Moulvibazar,Barlekha,High,Low,Low,Low,High,UDMCs,7
Sylhet,Moulvibazar,Juri,High,Low,Low,Low,High,UDMCs,4
Sylhet,Moulvibazar,Kamalganj,High,Low,Low,Medium,High,UDMCs,4
Sylhet,Moulvibazar,Kulaura,High,Low,Low,Medium,High,Partial,19
Sylhet,Moulvibazar,Moulvibazar Sadar,High,Low,Low,Low,High,UDMCs,14
Sylhet,Moulvibazar,Rajnagar,High,Low,Low,Low,High,UDMCs,8
Sylhet,Moulvibazar,Sreemangal,High,Low,Low,Medium,High,Partial,8
Sylhet,Sunamganj,Bishwamvarpur,High,Low,Low,Medium,High,UDMCs,8
Sylhet,Sunamganj,Chhatak,High,Low,Low,Low,High,Partial,8
Sylhet,Sunamganj,Derai,High,Low,Low,Medium,High,UDMCs,6
Sylhet,Sunamganj,Dharampasha,High,Low,Low,Medium,High,UDMCs,8
Sylhet,Sunamganj,Dowarabazar,High,Low,Low,Low,High,UDMCs,3
Sylhet,Sunamganj,Jamalganj,High,Low,Low,Medium,High,UDMCs,5
Sylhet,Sunamganj,Jagannathpur,High,Low,Low,Low,High,UDMCs,9
Sylhet,Sunamganj,Sulla,High,Low,Low,Medium,High,Partial,4
Sylhet,Sunamganj,Sunamganj Sadar,High,Low,Low,Medium,High,Partial,14
Sylhet,Sunamganj,Tahirpur,High,Low,Low,Low,High,UDMCs,10
Sylhet,Sylhet,Balaganj,High,Low,Low,Medium,High,UDMCs,21
Sylhet,Sylhet,Beani Bazar,High,Low,Low,Medium,High,UDMCs,15
Sylhet,Sylhet,Bishwanath,High,Low,Low,Low,High,Partial,20
Sylhet,Sylhet,Companiganj,High,Low,Low,Low,High,UDMCs,10
Sylhet,Sylhet,Dakshin Surma,High,Low,Low,Medium,High,UDMCs,11
Sylhet,Sylhet,Fenchuganj,High,Low,Low,Low,High,UDMCs,8
Sylhet,Sylhet,Golapganj,High,Low,Low,Medium,High,UDMCs,17
Sylhet,Sylhet,Gowainghat,High,Low,Low,Low,High,UDMCs,6
Sylhet,Sylhet,Jaintiapur,High,Low,Low,Medium,High,UDMCs,8
Sylhet,Sylhet,Kanaighat,High,Low,Low,Low,High,UDMCs,14
Sylhet,Sylhet,Osmani Nagar,High,Low,Low,Low,High,UDMCs,11
Sylhet,Sylhet,Sylhet Sadar,High,Low,Low,Medium,High,UDMCs,24
Sylhet,Sylhet,Zakiganj,High,Low,Low,Medium,High,UDMCs,12
