Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity,Literacy Rate (%),Primary Schools,Secondary Schools,Colleges/Univ.,Madrasas,Net Enrolment Rate (%),District Hospitals,Upazila Health Complexes,Community Clinics,Registered Doctors,Nurses/Midwives,Immunisation Coverage (%),MMR (per 100k live births),Paved Road (% of total),Total Road Length (km),Electricity Access (%),Internet Penetration (%),Mobile Coverage (%),Bank Branches,Weekly Markets (Haats),Cultivable Land (%),Irrigated Land (%),Rice,Jute,Wheat,Vegetables,Fisheries,Tea,Agri Households (%),Safe Water Access (%),Improved Sanitation (%),Arsenic Risk Level,Surface Water Dependency,Water Treatment Plants,Open Defecation (%),Flood Risk,Cyclone Risk,Drought Risk,Riverbank Erosion,Climate Vulnerability,Disaster Mgmt (UDMCs),Cyclone Shelters,No. of Unions,Pourashava (Municipality),Pourashava Wards,Parliamentary Constituency,Land Registration Offices,Police Stations/Outposts,Poverty Rate (%),HDI Index,Remittance Dependency,NGO Presence (count),Microfinance Institutions,Food Security Level,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration,Sex Ratio (F per 100M),Child Marriage Rate (%),Women's Education (%),Female Labour Force (%),Women in Local Govt (%),Skilled Birth Attendance (%),Girls in School (%),GBV Support Centre,Highway Length (km),Railway Station,River/Launch Port,Ferry Service,Airport/Airstrip,Bus Terminal,Major Bridges,Key River(s),Nearest Seaport,Avg. Household Size,Pucca Housing (%),Semi-Pucca Housing (%),Kutcha Housing (%),Overcrowding (%),TV Ownership (%),Mobile Phone Ownership (%),Primary Cooking Fuel,Avg. Rooms per HH,Muslim (%),Hindu (%),Buddhist (%),Christian & Other (%),Ethnic/Indigenous Groups,Primary Language(s),Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Chittagong,Noakhali,Noakhali Sadar,338.29,468000,1384,48,"Trade, Services",81.0,174,63,11,36,69.9,6,9,23,194,318,66.3,230,87,514.4,75.6,54.4,83.3,13,28,35.5,26.2,Yes,Some,Some,Yes,Some,No,44.3,78.9,59.8,Medium,Some,3,9.4,High,High,Low,Low,High,UDMCs,16,13,1,11.0,Constituency 133,2,5,15.2,0.672,Medium,45,26,High,237161,5.3,38.7,29.8,31.5,Some,73.7,7.4,Low,97.9,30.1,62.1,33.0,38.1,69.2,48.3,Yes,59.1,No,Yes,No,No,Yes,7,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.36,34.9,28.6,36.5,24.0,52.4,84.0,LPG/Biomass,2.8,92.4,13.8,0.5,0.0,Bengali,Bengali (Standard),60.3,74.5,Medium,6,13,37.4,28,Full,122
Chittagong,Noakhali,Senbagh,168.91,248000,1469,20,Agriculture,63.6,92,29,6,19,73.5,3,4,11,96,180,76.7,295,47,162.9,51.2,36.8,70.1,7,14,62.6,53.2,Yes,Some,Some,Yes,Some,No,49.7,60.2,62.5,Low,Yes,0,9.9,High,High,Low,Low,High,UDMCs,16,7,1,16.0,Constituency 134,1,3,20.1,0.633,Low,15,9,Medium,127819,3.7,53.3,14.7,32.0,No,73.4,10.2,Low,102.4,35.7,64.1,34.2,39.8,74.8,51.3,Partial,10.9,No,Yes,No,No,Partial,2,"Karnaphuli, Halda, Feni, Meghna",Chittagong,3.88,29.6,18.4,52.0,29.6,41.2,79.5,Biomass/Wood,2.7,93.4,11.5,0.3,0.0,Bengali,Bengali (Standard),55.4,47.3,Low,2,6,20.1,31,Partial,62
Chittagong,Noakhali,Sonaimuri,245.52,298000,1214,18,Agriculture,68.4,120,35,7,20,74.0,3,5,14,99,211,86.7,283,25,295.9,56.7,32.6,77.0,9,22,48.1,61.9,Yes,Some,Some,Yes,Some,No,40.1,57.4,63.1,Low,Yes,2,7.2,High,High,Low,Medium,High,UDMCs,21,8,0,,Constituency 135,1,3,19.8,0.646,Medium,19,15,High,140665,3.8,46.4,12.3,41.3,No,71.7,10.1,Medium,100.3,39.8,66.7,28.6,32.2,64.8,50.4,Partial,30.7,Yes,Yes,No,No,Partial,3,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.31,26.4,34.5,39.1,28.7,57.7,65.7,Biomass/Wood,2.2,92.0,9.5,0.5,0.0,Bengali,Bengali (Standard),38.0,75.4,Low,4,8,21.9,53,Partial,71
Chittagong,Noakhali,Subarnachar,840.31,248000,295,12,"Agriculture, Fishing",66.4,89,32,6,14,74.4,2,4,12,66,195,73.6,293,54,1780.4,51.7,21.7,69.8,6,13,64.1,43.6,Yes,Some,Some,Yes,Yes,No,56.5,79.9,71.5,Low,Yes,1,8.2,High,High,Low,Low,High,Partial,11,29,0,,Constituency 136,5,3,11.1,0.662,Low,11,13,High,120275,4.9,51.1,11.7,37.2,No,78.5,8.0,Low,98.1,46.8,60.8,29.8,33.9,71.8,48.6,No,33.5,Yes,Yes,Yes,No,Partial,14,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.66,30.7,28.9,40.4,27.7,44.6,66.7,Biomass/Wood,2.6,92.1,8.0,0.8,0.0,Bengali,Bengali (Standard),51.6,61.4,Low,2,0,19.0,24,Limited,62
Chittagong,Rangamati,Bagaichhari,837.83,58000,69,8,"Agriculture, Forestry",69.4,30,7,1,3,71.3,1,1,2,17,34,78.8,315,19,1116.5,52.2,30.7,72.1,1,4,79.5,59.6,Yes,Some,Some,Yes,Some,No,62.2,64.8,46.4,Medium,Some,0,12.6,High,High,Low,Low,High,UDMCs,3,36,0,,Constituency 137,5,1,29.8,0.617,Medium,5,1,Medium,27276,4.4,52.5,21.1,26.4,No,73.5,11.0,Low,105.6,46.7,59.7,27.4,33.2,65.8,52.5,No,26.6,No,Yes,Yes,No,Yes,13,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.88,24.6,35.9,39.5,34.6,43.0,76.9,Biomass/Wood,3.3,47.1,19.3,27.4,4.7,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",42.6,65.0,Low,1,0,18.0,1,Limited,15
Chittagong,Rangamati,Barkal,1159.22,42000,36,7,"Agriculture, Forestry",65.2,30,5,1,2,64.8,1,1,2,12,27,80.7,313,32,1521.5,55.9,26.4,70.6,1,2,61.2,28.9,Yes,Some,Some,Yes,Some,No,54.6,61.4,73.1,Medium,Yes,0,8.6,High,High,Low,Medium,High,UDMCs,1,47,0,,Constituency 138,7,1,29.9,0.61,Medium,3,1,Medium,21420,5.0,44.5,10.1,45.4,No,74.1,9.0,Medium,95.6,45.3,56.0,32.9,31.6,79.4,51.8,No,16.1,No,Yes,No,No,Yes,15,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.24,18.0,28.9,53.1,35.0,43.6,70.1,Biomass/Wood,3.9,40.7,11.6,44.1,5.6,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",50.6,58.3,Low,1,0,33.6,2,Limited,10
Chittagong,Rangamati,Belaichhari,655.29,32000,49,7,"Agriculture, Forestry",62.2,30,5,1,2,67.3,1,1,2,11,21,85.1,322,20,1361.9,50.6,29.6,80.1,1,1,48.3,48.2,Yes,Some,Some,Yes,Some,No,53.6,72.2,51.9,Medium,Some,0,7.8,High,High,Low,Low,High,Partial,1,22,1,9.0,Constituency 139,4,1,26.1,0.639,Low,2,1,Medium,16149,6.2,50.6,18.3,31.1,No,85.2,7.5,Medium,100.6,42.5,54.2,26.8,35.5,72.7,50.7,No,19.5,Yes,Yes,No,No,Yes,10,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.47,29.0,29.7,41.3,35.4,47.0,75.1,Biomass/Wood,3.6,23.8,24.3,48.9,3.8,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",50.8,58.4,Low,1,0,17.8,1,Limited,7
Chittagong,Rangamati,Juraichhari,652.81,28000,43,6,"Agriculture, Forestry",68.2,30,5,1,2,67.5,1,1,2,8,19,72.2,296,30,1404.7,63.2,20.4,66.9,1,1,62.1,44.2,Yes,Some,Some,Yes,Some,No,65.5,64.6,67.8,Medium,Some,0,10.9,High,High,Low,Low,High,UDMCs,1,24,0,,Constituency 140,4,1,22.9,0.643,Low,2,1,Medium,14449,4.8,42.3,13.9,43.8,No,72.5,11.1,Low,94.1,49.1,57.8,34.5,29.5,60.2,52.0,No,21.6,No,Yes,Yes,No,Yes,9,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.42,20.6,36.3,43.1,27.5,47.1,71.2,Biomass/Wood,3.9,25.5,31.1,35.4,7.9,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",48.9,60.8,Low,1,0,13.3,0,Limited,4
Chittagong,Rangamati,Kaptai,364.77,68000,186,22,"Hydropower, Forestry",68.1,30,9,1,5,80.7,1,1,3,22,42,85.7,281,36,411.2,74.7,44.6,80.4,1,5,57.2,46.6,Yes,Some,Some,Yes,Some,No,53.1,65.1,77.7,Medium,Some,0,6.1,High,High,Low,Medium,High,Partial,3,15,0,,Constituency 141,2,1,19.2,0.627,Medium,5,3,High,34823,4.3,42.2,18.6,39.2,Some,86.8,9.7,Medium,96.6,41.2,63.7,30.1,31.3,65.5,45.8,Partial,15.1,No,Yes,Yes,No,Yes,7,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.01,20.4,34.2,45.4,27.3,50.5,75.9,Biomass/Wood,2.1,47.8,22.4,25.9,7.7,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",50.4,74.2,Low,1,1,19.9,10,Partial,11
Chittagong,Rangamati,Kawkhali,340.22,42000,123,10,"Agriculture, Forestry",67.0,30,5,1,2,76.0,1,1,2,11,23,76.5,297,25,603.7,55.5,25.3,66.9,1,2,53.3,56.1,Yes,Some,Some,Yes,Some,No,60.0,69.6,70.0,Low,Yes,0,13.9,High,High,Low,Low,High,Partial,1,14,1,11.0,Constituency 142,2,1,23.0,0.599,Low,2,1,Medium,21236,4.7,51.6,7.9,40.5,No,83.4,7.7,Medium,95.7,46.5,59.8,32.7,32.7,76.6,50.6,No,14.5,Yes,Yes,No,No,Yes,7,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.79,22.0,39.9,38.1,41.4,41.6,71.6,Biomass/Wood,2.6,23.1,49.6,25.2,6.1,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",32.5,55.0,Low,1,0,21.9,3,Limited,7
Chittagong,Rangamati,Langadu,804.34,58000,72,10,"Agriculture, Forestry",74.6,30,8,1,3,75.9,1,1,2,21,32,81.9,293,47,726.2,63.1,26.8,79.0,2,4,77.6,66.4,Yes,Some,Some,Yes,Some,No,61.1,66.4,62.6,Medium,Yes,0,9.6,High,High,Low,Medium,High,UDMCs,4,38,1,14.0,Constituency 143,5,1,18.2,0.633,Medium,4,2,High,26931,5.3,57.3,13.5,29.2,No,81.2,10.6,Medium,97.5,38.9,56.3,32.8,34.9,62.7,51.2,No,20.2,No,Yes,Yes,No,Yes,11,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.81,19.7,32.3,48.0,29.1,42.9,72.3,Biomass/Wood,2.2,27.7,39.1,25.9,6.5,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",51.8,52.4,Low,1,0,18.6,4,Limited,10
Chittagong,Rangamati,Naniarchar,499.94,38000,76,8,"Agriculture, Forestry",73.8,30,5,1,2,76.9,1,1,2,10,28,89.7,332,28,1152.3,58.3,24.5,71.9,1,2,71.1,33.1,Yes,Some,Some,Yes,Some,No,57.6,68.2,52.6,Medium,Yes,0,7.1,High,High,Low,Low,High,UDMCs,1,21,0,,Constituency 144,3,1,22.9,0.658,Low,2,1,Medium,18276,6.6,39.3,8.7,52.0,No,85.0,10.5,Low,95.9,39.7,57.4,33.6,37.0,63.2,52.0,No,39.9,No,Yes,No,No,Yes,10,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.82,19.7,35.3,45.0,36.5,48.9,76.3,Biomass/Wood,3.3,36.8,13.5,41.8,5.3,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",53.8,60.7,Low,1,0,23.7,0,Limited,11
Chittagong,Rangamati,Rajasthali,376.98,28000,74,7,"Agriculture, Forestry",75.9,30,5,1,1,75.2,1,1,2,10,15,79.0,323,37,736.3,62.6,37.4,75.5,1,2,50.9,62.0,Yes,Some,Some,Yes,Some,No,65.7,63.0,78.2,Medium,Yes,0,12.2,High,High,Low,Low,High,UDMCs,1,15,0,,Constituency 145,2,1,16.6,0.652,Low,2,1,High,13253,4.2,51.7,15.1,33.2,No,71.7,10.9,Low,99.7,42.5,50.9,31.9,29.9,67.8,52.3,No,20.9,No,Yes,No,No,Partial,5,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.78,18.0,38.1,43.9,38.5,38.3,71.5,Biomass/Wood,3.1,43.5,27.6,25.6,7.5,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",43.3,56.1,Low,1,0,18.3,0,Limited,4
Chittagong,Rangamati,Rangamati Sadar,617.57,138000,224,42,"Trade, Tourism, Services",67.8,49,15,3,9,72.6,1,3,7,47,74,82.6,230,51,699.2,73.7,62.7,81.4,4,9,40.2,66.1,Yes,Some,Some,Yes,Some,No,46.2,71.7,55.8,Medium,Some,0,3.1,High,High,Low,Low,High,UDMCs,7,25,1,12.0,Constituency 146,4,2,14.0,0.67,Low,8,7,High,65609,7.2,31.7,26.2,42.1,Some,80.5,5.6,Medium,98.7,31.5,56.9,35.4,30.5,77.8,53.9,Yes,21.1,Yes,Yes,Yes,No,Yes,10,"Karnaphuli, Halda, Feni, Meghna",Chittagong,4.39,44.3,43.0,12.7,26.0,53.9,81.5,LPG/Biomass,2.2,25.3,32.6,38.4,3.8,"Chakma, Marma, Tripura, Bengali","Chakma, Marma, Bengali",60.2,69.7,Medium,1,2,27.5,10,Full,29
Dhaka,Dhaka,Demra,46.89,658000,14033,88,"Industry, Trade",88.7,235,81,14,39,91.8,8,12,30,212,525,89.1,132,123,85.3,80.4,63.9,95.3,25,45,21.3,47.5,Yes,Yes,Some,Yes,Some,No,20.0,95.1,95.2,High,Yes,2,1.9,Medium,Low,Low,Medium,Medium,Partial,25,4,1,14.0,Constituency 147,1,7,5.0,0.786,Medium,36,39,High,313751,5.3,14.6,48.5,36.9,Yes,63.6,2.5,Low,96.7,21.8,77.6,52.5,34.2,89.0,52.5,Yes,55.5,Yes,No,No,No,Yes,1,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,3.71,49.7,37.3,13.0,28.7,58.9,86.7,Gas/LPG,2.8,88.7,8.1,0.1,3.0,Bengali,Bengali (Standard),77.0,88.2,High,9,19,54.6,86,Full,159
Dhaka,Dhaka,Dhamrai,349.55,468000,1339,22,"Industry, Agriculture",85.5,209,61,10,30,74.7,6,10,24,126,331,79.5,292,40,376.1,52.5,40.0,79.8,12,27,71.3,47.0,Yes,Yes,Some,Yes,Some,No,58.3,81.3,84.9,High,Yes,2,9.0,Medium,Low,Low,Low,Medium,Partial,14,14,1,12.0,Constituency 148,2,5,13.2,0.737,Medium,33,25,High,217811,4.1,49.7,14.9,35.4,Some,75.3,8.8,Low,105.0,39.2,60.8,31.2,31.1,77.8,52.7,Partial,24.1,No,No,No,No,Yes,7,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.05,20.0,39.2,40.8,40.1,58.5,69.2,Biomass/Wood,2.5,92.1,12.7,0.6,0.0,Bengali,Bengali (Standard),58.6,64.8,Low,4,10,26.5,69,Partial,135
Dhaka,Dhaka,Dohar,165.97,248000,1494,18,Agriculture,74.7,103,30,5,18,79.3,3,4,12,87,147,79.6,303,30,308.8,62.4,34.9,83.7,9,15,58.4,75.6,Yes,Yes,Some,Yes,Some,No,51.7,84.9,57.5,High,Yes,1,7.5,Medium,Low,Low,Medium,Medium,UDMCs,10,7,1,17.0,Constituency 149,1,3,12.0,0.701,Medium,11,9,High,114441,3.8,46.4,12.1,41.5,No,74.0,7.9,Medium,103.1,41.1,57.3,40.2,25.0,61.3,48.9,Partial,34.9,Yes,Yes,No,No,Partial,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.77,23.5,46.2,30.3,37.2,39.8,75.4,Biomass/Wood,3.7,85.7,6.2,0.1,7.9,Bengali,Bengali (Standard),51.2,55.1,Low,2,2,28.6,4,Partial,56
Dhaka,Dhaka,Keraniganj,163.0,858000,5264,68,"Industry, Trade",86.4,341,98,22,58,83.5,12,17,42,225,479,87.0,190,88,187.3,86.1,81.2,84.3,23,48,44.5,49.9,Yes,Yes,Some,Yes,Some,No,28.0,92.0,69.2,High,Yes,4,3.6,Medium,Low,Low,Low,Medium,Partial,62,5,1,17.0,Constituency 150,1,9,5.0,0.765,Low,51,33,High,415218,3.9,20.7,33.4,45.9,Yes,69.8,6.2,Medium,102.2,22.1,74.8,41.0,39.7,80.7,47.8,Yes,73.2,Yes,No,Yes,No,Yes,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,3.78,42.7,25.4,31.9,32.1,59.3,81.5,Gas/LPG,3.2,85.4,7.6,0.5,6.4,Bengali,Bengali (Standard),64.9,69.9,High,10,22,47.7,83,Full,162
Dhaka,Dhaka,Nawabganj,177.71,348000,1959,28,"Agriculture, Industry",82.5,159,45,7,23,74.6,4,5,18,116,196,79.6,263,37,200.9,66.6,27.3,73.2,9,18,54.5,74.3,Yes,Yes,Some,Yes,Some,No,55.2,62.6,80.1,High,Yes,1,4.6,Medium,Low,Low,Low,Medium,UDMCs,13,8,1,13.0,Constituency 151,1,4,5.0,0.74,Medium,15,11,High,172353,4.5,46.5,25.8,27.7,Some,80.3,7.2,Low,94.0,40.3,64.0,37.5,30.5,78.0,46.0,Partial,40.6,Yes,No,No,No,Yes,2,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,3.71,28.2,30.9,40.9,26.9,63.0,85.2,LPG/Biomass,2.6,87.9,12.3,0.9,0.0,Bengali,Bengali (Standard),51.9,58.6,Low,5,6,31.4,71,Partial,79
Dhaka,Dhaka,Savar,280.54,1658000,5909,75,"Industry (EPZ), Trade",83.7,573,213,41,128,71.9,23,38,87,602,1115,86.3,181,52,307.5,88.4,54.1,83.6,48,89,29.8,39.4,Yes,Yes,Some,Yes,Some,No,33.2,83.6,84.8,High,Yes,4,4.7,Medium,Low,Low,Low,Medium,UDMCs,118,10,1,16.0,Constituency 152,1,17,5.0,0.767,Low,75,64,High,778726,5.2,26.2,28.0,45.8,Yes,65.3,3.7,Medium,96.7,21.6,64.3,45.1,28.4,84.1,50.2,Yes,22.8,No,No,No,No,Yes,4,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.5,57.2,28.0,14.8,19.3,65.3,92.9,Gas/LPG,3.2,87.7,8.0,0.2,4.0,Bengali,Bengali (Standard),71.5,80.7,High,16,25,64.7,632,Full,400
Dhaka,Dhaka,Tejgaon (Dhaka City),306.38,8906039,29074,99,"Trade, Industry, Services",88.2,3676,1063,234,622,90.6,90,180,421,3507,6625,83.0,114,120,719.4,96.1,86.4,92.8,282,661,35.4,38.8,Yes,Yes,Some,Yes,Some,No,20.0,93.8,88.6,High,Yes,25,0.0,Medium,Low,Low,Medium,Medium,UDMCs,634,13,1,16.0,Constituency 153,2,90,5.0,0.841,Medium,371,511,High,4261901,3.9,16.4,50.5,33.1,Yes,55.7,1.2,Low,97.2,15.9,75.0,46.4,34.1,88.0,49.9,Yes,22.9,Yes,No,No,No,Yes,5,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.36,64.1,41.8,5.0,20.8,73.5,96.7,Gas/LPG,3.0,88.0,6.7,0.0,5.2,Bengali,Bengali (Standard),90.0,77.8,High,106,136,55.4,355,Full,1678
Dhaka,Faridpur,Alfadanga,182.75,148000,810,14,Agriculture,74.3,62,20,3,11,66.2,2,3,6,38,97,85.6,310,23,437.0,58.4,37.6,77.5,5,11,54.0,33.0,Yes,Yes,Some,Yes,Some,No,61.8,64.5,41.5,High,Yes,0,9.7,Medium,Low,Low,Medium,Medium,UDMCs,10,8,1,12.0,Constituency 154,1,2,14.1,0.741,Medium,7,7,High,73317,5.9,50.6,8.5,40.9,No,80.6,10.0,Low,105.7,36.0,51.1,27.5,34.2,63.5,49.8,No,23.9,Yes,No,No,No,Partial,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.34,27.2,39.3,33.5,38.6,54.2,74.0,Biomass/Wood,3.7,88.5,13.2,0.7,0.0,Bengali,Bengali (Standard),74.0,61.0,Low,1,0,32.8,15,Limited,29
Dhaka,Faridpur,Bhanga,248.37,248000,999,18,"Agriculture, Trade",75.6,97,31,6,13,70.4,3,4,13,78,144,79.2,285,61,571.0,53.1,36.1,74.3,7,19,59.7,43.1,Yes,Yes,Some,Yes,Some,No,45.9,60.4,57.7,High,Yes,0,9.6,Medium,Low,Low,Low,Medium,UDMCs,10,8,0,,Constituency 155,1,3,20.3,0.731,Medium,11,12,Medium,118518,7.2,54.7,20.4,24.9,No,69.6,10.0,Medium,103.9,40.0,45.8,35.8,31.4,65.4,50.0,Partial,49.0,Yes,No,Yes,No,Partial,4,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.37,33.1,44.9,22.0,37.1,48.8,83.7,Biomass/Wood,2.4,85.4,12.1,0.4,2.0,Bengali,Bengali (Standard),47.1,76.8,Low,2,6,24.9,26,Partial,66
Dhaka,Faridpur,Boalmari,246.69,248000,1006,16,Agriculture,75.5,89,27,6,19,81.6,2,3,12,91,153,72.7,299,51,277.7,56.4,38.4,64.1,7,13,55.4,33.4,Yes,Yes,Some,Yes,Some,No,61.4,49.9,49.4,High,Some,1,6.4,Medium,Low,Low,Medium,Medium,UDMCs,13,8,0,,Constituency 156,1,3,14.9,0.693,Low,23,11,High,127898,6.0,49.7,14.7,35.6,No,80.8,8.5,Medium,105.3,38.6,55.0,32.9,34.4,70.9,55.9,Partial,32.7,No,Yes,No,No,Partial,4,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.25,25.1,35.1,39.8,36.7,55.5,79.1,Biomass/Wood,3.3,88.4,8.9,0.2,2.4,Bengali,Bengali (Standard),67.3,63.9,Low,3,7,35.0,28,Partial,51
Dhaka,Faridpur,Char Bhadrasan,159.95,118000,738,12,Agriculture,68.1,51,13,3,7,71.1,1,2,5,47,76,78.3,291,42,179.4,49.6,17.2,72.4,3,6,64.2,58.9,Yes,Yes,Some,Yes,Some,No,57.8,64.5,68.3,High,Yes,0,11.3,Medium,Low,Low,Low,Medium,Partial,3,5,1,18.0,Constituency 157,1,2,11.0,0.731,Low,3,4,High,58434,6.5,44.7,13.6,41.7,No,72.8,8.1,Low,99.2,40.2,54.2,28.5,36.3,73.7,49.5,No,18.7,Yes,No,Yes,No,Yes,2,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.66,26.5,32.5,41.0,36.5,30.8,74.1,Biomass/Wood,3.0,85.1,8.1,0.5,6.2,Bengali,Bengali (Standard),62.8,61.2,Low,1,0,19.4,3,Limited,19
Dhaka,Faridpur,Faridpur Sadar,372.6,468000,1256,45,"Trade, Services",84.1,178,51,13,26,68.7,6,9,24,154,295,86.6,232,74,851.0,80.1,30.6,83.6,12,30,53.8,63.7,Yes,Yes,Some,Yes,Some,No,45.6,72.5,85.0,High,Yes,2,9.5,Medium,Low,Low,Low,Medium,UDMCs,17,16,1,16.0,Constituency 158,2,5,13.6,0.753,Low,29,21,High,228314,5.2,40.6,24.3,35.1,Some,74.6,6.3,Low,95.8,32.9,57.2,43.9,34.7,83.3,49.1,Yes,18.9,No,No,No,No,Yes,6,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.69,47.8,38.5,13.7,24.4,56.8,78.3,LPG/Biomass,3.3,85.4,11.4,1.0,2.1,Bengali,Bengali (Standard),66.4,63.9,Medium,6,13,35.5,15,Full,103
Dhaka,Faridpur,Madhukhali,195.39,178000,911,15,Agriculture,85.0,75,25,5,13,71.4,2,3,8,66,129,85.7,282,45,177.9,57.5,19.2,74.5,6,11,69.4,47.9,Yes,Yes,Some,Yes,Some,No,50.6,68.5,77.4,High,Yes,1,7.6,Medium,Low,Low,Medium,Medium,UDMCs,10,8,1,11.0,Constituency 159,1,2,16.3,0.702,Medium,16,8,High,87432,3.9,46.9,19.7,33.4,No,73.5,8.1,Medium,102.5,36.3,60.3,34.4,36.0,70.7,46.8,No,24.4,Yes,Yes,No,No,Partial,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,3.97,5.0,24.9,70.1,30.6,62.9,72.9,Biomass/Wood,2.5,86.1,13.9,0.5,0.0,Bengali,Bengali (Standard),61.4,65.8,Low,2,0,34.6,18,Limited,37
Dhaka,Faridpur,Nagarkanda,198.2,178000,898,15,Agriculture,72.5,60,22,4,12,80.1,2,3,8,49,113,75.4,303,39,315.0,57.7,39.5,72.3,5,10,48.8,74.8,Yes,Yes,Some,Yes,Some,No,50.3,66.4,63.9,High,Yes,0,12.1,Medium,Low,Low,Medium,Medium,UDMCs,9,9,1,18.0,Constituency 160,1,2,20.5,0.663,Low,14,7,Medium,86597,6.0,43.6,18.8,37.6,No,78.2,9.8,Medium,94.8,40.6,53.9,34.5,37.4,68.5,53.3,No,16.9,Yes,Yes,Yes,No,Partial,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.48,17.9,35.9,46.2,35.0,49.6,71.9,Biomass/Wood,3.5,92.4,12.5,0.8,0.0,Bengali,Bengali (Standard),62.2,53.0,Low,2,0,17.8,17,Limited,28
Dhaka,Faridpur,Saltha,150.18,128000,852,13,Agriculture,74.5,56,18,2,7,67.4,1,2,6,33,101,83.2,316,34,355.3,50.6,29.6,73.9,3,7,63.8,50.7,Yes,Yes,Some,Yes,Some,No,57.9,78.5,56.3,High,Some,0,6.1,Medium,Low,Low,Low,Medium,UDMCs,7,5,0,,Constituency 161,1,2,18.4,0.682,Medium,10,7,High,60196,4.6,45.0,8.2,46.8,No,69.2,8.3,Medium,100.1,39.1,60.1,28.5,32.8,67.5,50.7,No,20.7,No,No,Yes,No,Yes,2,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,3.95,33.4,39.4,27.2,26.5,52.2,74.1,Biomass/Wood,3.5,89.1,9.5,0.4,0.9,Bengali,Bengali (Standard),65.9,58.4,Low,1,0,22.9,13,Limited,31
Dhaka,Faridpur,Sadarpur,227.43,198000,871,14,Agriculture,85.3,80,27,4,10,75.0,2,3,9,54,109,81.2,320,52,335.0,55.6,47.7,64.3,6,13,69.5,72.4,Yes,Yes,Some,Yes,Some,No,53.8,60.3,41.7,High,Some,0,8.0,Medium,Low,Low,Medium,Medium,UDMCs,13,7,0,,Constituency 162,1,2,14.4,0.68,Medium,17,6,High,98028,4.0,45.7,15.0,39.3,No,72.7,9.3,Medium,99.2,41.6,52.5,22.5,34.3,71.7,51.8,No,36.8,Yes,No,No,No,Yes,3,"Buriganga, Shitalakhya, Meghna, Dhaleshwari",Chittagong,4.93,21.8,35.0,43.2,31.6,52.4,77.9,Biomass/Wood,2.5,87.4,11.4,0.9,0.2,Bengali,Bengali (Standard),61.8,62.1,Low,3,0,16.9,26,Limited,32
